testname,baseURL,concurrentUsers,requests,delay,telemetryInApp,orderOfMagnitude,count,min,max,mean,std,total_heap_size_before,total_heap_size_executable_before,total_physical_size_before,total_available_size_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,peak_malloced_memory_before,does_zap_garbage_before,number_of_native_contexts_before,number_of_detached_contexts_before,total_global_handles_size_before,used_global_handles_size_before,external_memory_before,total_heap_size_after,total_heap_size_executable_after,total_physical_size_after,total_available_size_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after,peak_malloced_memory_after,does_zap_garbage_after,number_of_native_contexts_after,number_of_detached_contexts_after,total_global_handles_size_after,used_global_handles_size_after,external_memory_after,timestamp
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,50,5095.636,10868.238,7289.582,1638.558,62.094,1.047,61.881,201.175,57.291,259,0.094,4.347,0,0,0,undefined,undefined,undefined,60.48,2.094,58.808,204.595,54.856,259,0.094,4.347,0,0,0,undefined,undefined,undefined,2024-08-28T00:48:21.928Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,52,5069.42,11953.62,7339.147,1786.179,62.344,1.047,61.9,201.848,56.556,259,0.094,3.524,0,0,0,undefined,undefined,undefined,69.73,2.094,69.461,199.09,59.424,259,0.094,3.855,0,0,0,undefined,undefined,undefined,2024-08-28T01:01:20.546Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,192,60,48061.692,49503.383,48505.988,536.175,62.594,1.047,62.185,200.854,57.434,259,0.094,4.224,0,0,0,undefined,undefined,undefined,82.484,2.094,81.513,192.399,65.962,259,0.094,4.224,0,0,0,undefined,undefined,undefined,2024-08-28T01:03:00.259Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,192,60,47813.723,49253.647,48303.001,555.37,62.344,1.047,61.937,200.81,57.468,259,0.094,3.778,0,0,0,undefined,undefined,undefined,78.93,2.094,78.266,185.552,72.753,259,0.094,3.778,0,0,0,undefined,undefined,undefined,2024-08-28T01:03:59.687Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,192,60,48751.414,50195.747,49232.901,555.127,61.594,1.047,61.401,201.37,57.131,259,0.094,4.083,0,0,0,undefined,undefined,undefined,78.477,2.094,78.046,185.266,73.079,259,0.094,4.083,0,0,0,undefined,undefined,undefined,2024-08-28T01:05:01.073Z
NEW TESTS"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,1,49,5061.774,11337.478,7356.461,1795.08,62.59,1.047,62.212,200.745,57.711,259,0.094,3.724,0,0,0,undefined,undefined,undefined,81.234,2.344,80.614,191.294,68.16,259,0.094,3.724,0,0,0,undefined,undefined,undefined,2024-08-29T21:53:55.971Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,1,51,5151.056,11696.22,7431.777,1751.272,63.094,1.297,62.398,201.02,57.332,259,0.094,4.501,0,0,0,undefined,undefined,undefined,81.484,2.344,81.151,189.853,69.686,259,0.094,4.501,0,0,0,undefined,undefined,undefined,2024-08-29T22:06:56.908Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,1,50,5070.541,9965.202,7280.267,1582.659,62.563,1.047,62.265,201.205,57.2,259,0.094,3.882,0,0,0,undefined,undefined,undefined,71.48,2.094,70.714,193.704,65.83,259,0.094,3.882,0,0,0,undefined,undefined,undefined,2024-08-29T22:20:55.152Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,128,60,1515.373,14705.665,9849.434,4312.012,62.313,1.047,62.023,201.201,57.203,259,0.094,4.402,0,0,0,undefined,undefined,undefined,92.66,2.594,92.198,168.74,89.612,259,0.094,4.874,0,0,0,undefined,undefined,undefined,2024-08-29T22:35:58.340Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,128,60,883.362,14778.241,9869.877,4675.185,63.094,1.047,62.501,201.03,57.375,259,0.094,3.562,0,0,0,undefined,undefined,undefined,83.438,2.344,83.401,181.195,77.251,259,0.094,4.467,0,0,0,undefined,undefined,undefined,2024-08-29T22:50:58.466Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,128,60,858.326,14606.574,9760.277,4831.781,61.813,1.047,61.546,201.131,57.285,259,0.094,3.595,0,0,0,undefined,undefined,undefined,92.613,2.594,91.938,168.838,89.425,259,0.094,5.234,0,0,0,undefined,undefined,undefined,2024-08-29T23:05:57.737Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,238,52,6573.95,18553.404,13855.068,3727.446,62.594,1.047,62.115,201.024,57.378,259,0.094,3.706,0,0,0,undefined,undefined,undefined,84.719,2.344,84.332,184.719,74.787,259,0.094,5.825,0,0,0,undefined,undefined,undefined,2024-08-29T23:25:58.761Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,238,51,6108.693,18448.527,14423.889,3743.606,62.594,1.047,62.099,200.959,57.352,259,0.094,3.7,0,0,0,undefined,undefined,undefined,70.734,2.344,69.15,192.648,66.722,259,0.094,6.172,0,0,0,undefined,undefined,undefined,2024-08-29T23:46:58.154Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,true,238,52,6590.206,18898.293,14160.243,3583.578,61.066,1.047,60.714,202.231,56.237,259,0.094,3.45,0,0,0,undefined,undefined,undefined,67.73,2.094,66.799,195.423,64.143,259,0.094,5.382,0,0,0,undefined,undefined,undefined,2024-08-30T00:08:58.200Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,50,5063.727,9892.927,7323.282,1585.452,62.094,1.047,61.601,201.758,56.605,259,0.094,3.912,0,0,0,undefined,undefined,undefined,75.656,2.094,75.149,190.264,68.261,259,0.094,3.912,0,0,0,undefined,undefined,undefined,2024-08-30T00:22:56.622Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,51,5086.894,10845.475,7348.355,1672.474,62.594,1.297,61.866,201.737,56.59,259,0.094,3.492,0,0,0,undefined,undefined,undefined,63.48,2.344,63.258,204.355,55.232,259,0.094,3.529,0,0,0,undefined,undefined,undefined,2024-08-30T00:36:57.555Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,1,49,5098.373,9991.878,7351.582,1612.074,62.094,1.047,61.894,201.44,57.093,259,0.094,3.588,0,0,0,undefined,undefined,undefined,73.41,2.594,72.946,195.676,63.864,259,0.094,3.589,0,0,0,undefined,undefined,undefined,2024-08-30T00:50:55.745Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,128,60,920.04,15051.538,10060.761,4903.367,61.313,1.047,61.057,201.976,56.52,259,0.094,3.976,0,0,0,undefined,undefined,undefined,74.906,2.594,74.732,190.893,67.575,259,0.094,4.719,0,0,0,undefined,undefined,undefined,2024-08-30T01:05:57.153Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,128,60,1548.697,16466.692,10223.173,4507.189,62.594,1.047,62.393,201.239,57.248,259,0.094,3.291,0,0,0,undefined,undefined,undefined,76.969,2.594,76.282,192.726,65.555,259,0.094,4.735,0,0,0,undefined,undefined,undefined,2024-08-30T01:20:57.453Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,128,60,2386.132,16294.946,10172.302,4416.167,61.559,1.047,61.356,201.274,57.253,259,0.094,4.025,0,0,0,undefined,undefined,undefined,76.895,2.594,76.289,191.635,66.849,259,0.094,5.198,0,0,0,undefined,undefined,undefined,2024-08-30T01:35:58.226Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,238,53,6056.931,19095.408,14175.861,3841.086,61.844,1.047,61.583,201.313,57.117,259,0.094,3.717,0,0,0,undefined,undefined,undefined,59.98,2.344,58.668,204.257,55.262,259,0.094,6.204,0,0,0,undefined,undefined,undefined,2024-08-30T01:56:56.988Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,238,48,6574.391,19119.748,15010.869,3310.747,62.063,1.047,61.632,201.662,56.645,259,0.094,3.787,0,0,0,undefined,undefined,undefined,60.48,2.344,58.772,204.515,55.08,259,0.094,5.318,0,0,0,undefined,undefined,undefined,2024-08-30T02:18:58.414Z
"RegistryTELEMETRY",http://localhost:5400,1,60,variable,false,238,54,6600.23,21460.709,14292.884,4226.782,62.094,1.047,61.671,201.166,57.109,259,0.094,3.872,0,0,0,undefined,undefined,undefined,60.48,2.344,59.476,203.854,55.58,259,0.094,5.328,0,0,0,undefined,undefined,undefined,2024-08-30T02:40:56.959Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,16,5135.496,9623.151,7262.987,1710.405,61.316,1.047,61.002,202.255,56.188,259,0.094,3.531,0,0,0,undefined,undefined,undefined,72.234,2.094,71.978,193.975,65.388,259,0.094,3.531,0,0,0,undefined,undefined,undefined,2024-08-30T02:46:56.835Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,16,5125.403,9811.55,7290.823,1601.448,72.234,2.094,71.268,194.537,64.827,259,0.094,3.531,0,0,0,undefined,undefined,undefined,75.734,2.094,75.47,193.505,65.06,259,0.094,3.531,0,0,0,undefined,undefined,undefined,2024-08-30T02:52:57.010Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,17,5130.802,11500.583,7545.652,1929.886,74.734,2.094,74.47,195.001,64.567,259,0.094,3.531,0,0,0,undefined,undefined,undefined,92.609,2.344,92.082,168.507,89.806,259,0.094,3.531,0,0,0,undefined,undefined,undefined,2024-08-30T02:58:56.706Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,17,5157.054,11535.19,7545.784,1809.744,63.094,1.047,62.5,201.034,57.378,259,0.094,3.885,0,0,0,undefined,undefined,undefined,74.734,2.094,74.201,197.589,61.982,259,0.094,3.885,0,0,0,undefined,undefined,undefined,2024-08-30T03:04:56.969Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,16,5112.781,9953.56,7251.882,1675.002,74.734,2.094,74.201,197.446,62.125,259,0.094,3.885,0,0,0,undefined,undefined,undefined,75.734,2.094,75.35,194.613,64.952,259,0.094,3.885,0,0,0,undefined,undefined,undefined,2024-08-30T03:10:57.594Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,16,5082.414,9231.225,7106.846,1639.807,75.734,2.094,75.35,194.533,65.031,259,0.094,3.885,0,0,0,undefined,undefined,undefined,68.48,2.344,68.152,196.8,62.776,259,0.094,3.885,0,0,0,undefined,undefined,undefined,2024-08-30T03:16:57.261Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,17,5138.813,9834.886,7349.237,1589.118,62.844,1.047,62.523,200.605,57.78,259,0.094,3.548,0,0,0,undefined,undefined,undefined,63.23,2.094,62.102,201.145,58.353,259,0.094,3.548,0,0,0,undefined,undefined,undefined,2024-08-30T03:21:57.131Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,16,5162.161,10860.045,7503.723,1934.793,63.23,2.094,62.272,201.021,58.533,259,0.094,3.548,0,0,0,undefined,undefined,undefined,71.734,2.094,71.554,195.305,64.243,259,0.094,3.548,0,0,0,undefined,undefined,undefined,2024-08-30T03:27:56.121Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,1,17,5143.458,9651.4,7177.302,1563.716,71.734,2.094,71.554,195.144,64.409,259,0.094,3.548,0,0,0,undefined,undefined,undefined,77.984,2.344,77.778,194.499,64.848,259,0.094,3.548,0,0,0,undefined,undefined,undefined,2024-08-30T03:33:56.745Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,2511.284,14763.175,11501.437,3447.023,62.594,1.047,62.285,201.104,57.343,259,0.094,3.813,0,0,0,undefined,undefined,undefined,63.73,2.594,62.096,200.903,58.532,259,0.094,4.756,0,0,0,undefined,undefined,undefined,2024-08-30T03:40:56.801Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,1549.351,14628.789,11496.561,3794.432,63.73,2.594,62.259,200.782,58.705,259,0.094,4.756,0,0,0,undefined,undefined,undefined,63.73,2.344,62.169,201.062,58.457,259,0.094,4.756,0,0,0,undefined,undefined,undefined,2024-08-30T03:47:57.132Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,2495.187,14442.697,11592.991,3490.785,63.73,2.344,62.324,200.768,58.635,259,0.094,4.756,0,0,0,undefined,undefined,undefined,67.23,2.344,65.5,197.503,61.987,259,0.094,4.756,0,0,0,undefined,undefined,undefined,2024-08-30T03:54:56.417Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,1516.419,14961.493,11895.762,3873.076,62.344,1.047,62.095,201.375,57.059,259,0.094,3.622,0,0,0,undefined,undefined,undefined,63.48,2.344,62.344,201.182,58.401,259,0.094,4.161,0,0,0,undefined,undefined,undefined,2024-08-30T04:01:56.622Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,1635.339,14638.744,11681.684,3659.738,63.48,2.344,62.479,200.886,58.582,259,0.094,4.161,0,0,0,undefined,undefined,undefined,63.73,2.344,62.758,201.009,58.45,259,0.094,4.161,0,0,0,undefined,undefined,undefined,2024-08-30T04:08:56.803Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,1531.084,14403.118,11610.419,3813.647,63.73,2.344,62.926,200.891,58.628,259,0.094,4.161,0,0,0,undefined,undefined,undefined,67.23,2.594,65.41,197.401,61.963,259,0.094,4.161,0,0,0,undefined,undefined,undefined,2024-08-30T04:15:55.472Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,2509.436,14679.708,11683.081,3506.922,62.313,1.047,62.033,201.03,57.392,259,0.094,3.825,0,0,0,undefined,undefined,undefined,63.48,2.344,61.874,201.037,58.341,259,0.094,4.527,0,0,0,undefined,undefined,undefined,2024-08-30T04:22:56.413Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,17,1612.307,14362.652,11624.549,3659.625,63.48,2.344,62.046,200.918,58.521,259,0.094,4.527,0,0,0,undefined,undefined,undefined,63.48,2.344,62.178,201.143,58.434,259,0.094,5.553,0,0,0,undefined,undefined,undefined,2024-08-30T04:29:56.792Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,128,16,1509.651,16566.767,11907.287,4019.104,63.48,2.344,62.296,200.973,58.614,259,0.094,5.553,0,0,0,undefined,undefined,undefined,66.73,2.344,65.693,197.562,61.906,259,0.094,5.553,0,0,0,undefined,undefined,undefined,2024-08-30T04:36:57.105Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,6607.411,19142.81,15839.035,3491.615,62.84,1.047,62.243,200.738,57.666,259,0.094,3.456,0,0,0,undefined,undefined,undefined,63.23,2.344,62.214,201.075,58.457,259,0.094,6.468,0,0,0,undefined,undefined,undefined,2024-08-30T04:44:57.109Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,8163.105,19030.392,16118.78,3319.973,63.23,2.344,62.375,200.719,58.637,259,0.094,6.468,0,0,0,undefined,undefined,undefined,63.48,2.344,61.75,201.522,58.05,259,0.094,6.468,0,0,0,undefined,undefined,undefined,2024-08-30T04:51:56.617Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,6575.918,18832.989,15957.822,3419.335,63.48,2.344,61.892,201.225,58.228,259,0.094,6.468,0,0,0,undefined,undefined,undefined,65.98,2.344,64.778,198.012,61.418,259,0.094,6.468,0,0,0,undefined,undefined,undefined,2024-08-30T04:59:57.289Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,8409.365,19442.273,16385.568,3359.097,61.816,1.047,61.268,202.249,56.212,259,0.094,3.518,0,0,0,undefined,undefined,undefined,62.98,2.344,61.436,201.368,57.951,259,0.094,6.069,0,0,0,undefined,undefined,undefined,2024-08-30T05:06:57.274Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,7584.404,19867.655,16123.725,3398.569,62.98,2.344,61.521,201.29,58.043,259,0.094,6.069,0,0,0,undefined,undefined,undefined,62.98,2.344,61.594,201.217,58.161,259,0.094,6.069,0,0,0,undefined,undefined,undefined,2024-08-30T05:14:56.883Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,7765.229,19895.812,16234.276,3401.505,62.98,2.344,61.763,201.091,58.34,259,0.094,6.069,0,0,0,undefined,undefined,undefined,65.73,2.094,64.595,198.082,61.408,259,0.094,6.069,0,0,0,undefined,undefined,undefined,2024-08-30T05:21:57.594Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,7718.431,19943.283,16208.928,3451.291,62.594,1.047,62.328,200.519,57.904,259,0.094,3.603,0,0,0,undefined,undefined,undefined,62.98,2.344,61.761,201.269,58.117,259,0.094,5.363,0,0,0,undefined,undefined,undefined,2024-08-30T05:29:57.465Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,16,8471.899,23112.09,16850.037,3683.915,62.98,2.344,61.931,201.15,58.297,259,0.094,5.363,0,0,0,undefined,undefined,undefined,63.23,2.344,61.79,201.448,58.082,259,0.094,6.483,0,0,0,undefined,undefined,undefined,2024-08-30T05:36:57.152Z
"RegistryINTERVAL",http://localhost:5400,1,20,variable,true,238,18,7042.888,19247.676,15296.297,4341.21,63.23,2.344,61.872,201.372,58.172,259,0.094,6.483,0,0,0,undefined,undefined,undefined,97.23,2.344,96.908,164.335,94.046,259,0.094,6.483,0,0,0,undefined,undefined,undefined,2024-08-30T05:43:48.245Z
"RegistryTELEMETRY",http://localhost:5400,1,300,variable,true,1,244,5111.524,13779.255,7369.4,1698.401,62.844,1.047,62.563,200.62,57.787,259,0.094,3.919,0,0,0,undefined,undefined,undefined,138.355,2.594,137.721,123.676,134.47,259,0.094,3.919,0,0,0,undefined,undefined,undefined,2024-08-30T06:45:55.519Z
"RegistryTELEMETRY",http://localhost:5400,1,300,variable,false,1,244,5120.148,11815.975,7338.255,1622.712,61.563,1.047,61.338,201.9,56.569,259,0.094,3.847,0,0,0,undefined,undefined,undefined,77.113,3.094,76.398,185.396,72.77,259,0.094,4.045,0,0,0,undefined,undefined,undefined,2024-08-30T07:47:56.426Z
"RegistryTELEMETRY",http://localhost:5400,1,300,variable,true,128,292,1383.774,17097.341,10713.879,5103.754,62.594,1.047,62.198,201.351,57.032,259,0.094,3.469,0,0,0,undefined,undefined,undefined,129.395,2.594,128.668,132.188,125.945,259,0.094,4.807,0,0,0,undefined,undefined,undefined,2024-08-30T09:02:58.159Z
"RegistryTELEMETRY",http://localhost:5400,1,300,variable,false,128,291,1028.829,19936.184,11093.116,5088.455,61.313,1.047,61.105,201.976,56.558,259,0.094,3.821,0,0,0,undefined,undefined,undefined,74.684,2.594,74.275,191.161,67.304,259,0.094,5.532,0,0,0,undefined,undefined,undefined,2024-08-30T10:17:57.885Z
"RegistryTELEMETRY",http://localhost:5400,1,300,variable,true,238,269,6643.8,25107.612,15815.485,4811.218,62.844,1.047,62.438,200.913,57.495,259,0.094,3.434,0,0,0,undefined,undefined,undefined,105.984,2.344,105.381,155.516,103.709,259,0.094,7.116,0,0,0,undefined,undefined,undefined,2024-08-30T11:58:59.648Z
"RegistryTELEMETRY",http://localhost:5400,1,300,variable,false,238,296,6499.504,29197.854,15045.165,5899.367,61.594,1.047,61.186,201.154,57.115,259,0.094,3.931,0,0,0,undefined,undefined,undefined,74.91,2.594,74.628,196.03,62.492,259,0.094,5.732,0,0,0,undefined,undefined,undefined,2024-08-30T13:38:57.527Z
